Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
69,Wolfsburg,GER,13,10,2,4,4,11,17,-6,10,1,11.5,15,-3.5,-0.35,26291,Lukas Nmecha Yannick Gerhardt - 3,Koen Casteels
70,Nantes,FRA,14,11,2,4,5,13,19,-6,10,0.91,12.6,16.5,-3.9,-0.35,24105,Moses Simon - 4,Alban Lafont
71,Aston Villa,ENG,16,10,2,3,5,7,13,-6,9,0.9,9,11.5,-2.5,-0.25,33253,Ollie Watkins Ashley Young... - 1,Emiliano Martínez
72,Wolves,ENG,17,10,2,3,5,4,12,-8,9,0.9,9.2,12.6,-3.4,-0.34,31233,Rúben Neves Daniel Podence - 2,José Sá
73,Spezia,ITA,15,10,2,3,5,9,19,-10,9,0.9,7.6,17.9,-10.3,-1.03,6483,M'Bala Nzola - 4,Bart?omiej Dr?gowski
74,Girona,ESP,15,9,2,2,5,12,15,-3,8,0.89,10.2,11.6,-1.4,-0.16,10797,Cristhian Stuani Valentín Castellanos... - 2,Juan Carlos
75,Valladolid,ESP,17,9,2,2,5,6,14,-8,8,0.89,8.6,13.9,-5.2,-0.58,20165,Sergio León - 2,Sergio Asenjo
76,Getafe,ESP,16,9,2,2,5,8,16,-8,8,0.89,7.7,10.9,-3.2,-0.36,11724,Gastón Álvarez Enes Ünal - 2,David Soria
77,Reims,FRA,15,11,1,6,4,12,19,-7,9,0.82,14.8,16.5,-1.7,-0.16,10029,Folarin Balogun - 6,Patrick Pentz
78,Auxerre,FRA,16,11,2,3,6,11,23,-12,9,0.82,11.1,19.3,-8.2,-0.75,13026,Nuno da Costa Mathias Autret - 2,Benoît Costil
79,Stuttgart,GER,14,10,1,5,4,13,15,-2,8,0.8,12.6,13.9,-1.3,-0.13,46192,Silas Katompa - 3,Florian Müller
80,Hertha BSC,GER,15,10,1,5,4,12,15,-3,8,0.8,11.8,16.3,-4.5,-0.45,45984,Dodi Lukebakio - 5,Oliver Christensen
81,Leverkusen,GER,16,10,2,2,6,14,21,-7,8,0.8,13.9,16.6,-2.7,-0.27,27295,Jeremie Frimpong - 4,Lukáš Hrádeck?
82,Southampton,ENG,18,10,2,2,6,9,18,-9,8,0.8,9.2,13.1,-3.9,-0.39,24813,Joe Aribo Che Adams - 2,Gavin Bazunu
83,Lecce,ITA,16,9,1,4,4,8,11,-3,7,0.78,6.7,12,-5.4,-0.6,18171,Gabriel Strefezza - 4,Wladimiro Falcone
84,Almería,ESP,18,9,2,1,6,8,15,-7,7,0.78,6.9,11.4,-4.5,-0.56,12839,Largie Ramazani El Bilal Touré... - 2,Fernando
85,Strasbourg,FRA,17,11,1,5,5,10,17,-7,8,0.73,13.2,18.9,-5.8,-0.52,21002,Habib Diallo - 5,Matz Sels
86,Ajaccio,FRA,18,11,2,2,7,8,16,-8,8,0.73,11,12,-1.1,-0.1,7764,Mounaim El Idrissy - 2,Benjamin Leroy
